"","A","S","E","O","R","T"
"3924","adult","F","high","emp","small","car"
"3925","young","F","uni","emp","big","other"
"3926","young","M","high","emp","big","car"
"3927","old","M","high","emp","big","car"
"3928","adult","F","high","emp","big","train"
"3929","adult","M","high","emp","big","car"
"3930","old","F","high","emp","big","other"
"3931","adult","M","uni","emp","big","car"
"3932","young","M","high","emp","big","train"
"3933","adult","M","high","emp","big","other"
"3934","adult","M","high","emp","big","car"
"3935","young","M","uni","emp","small","car"
"3936","adult","M","high","emp","big","car"
"3937","young","M","uni","emp","big","car"
"3938","adult","M","high","emp","big","car"
"3939","adult","F","uni","emp","big","train"
"3940","adult","M","high","emp","big","car"
"3941","young","F","uni","emp","big","car"
"3942","adult","M","high","emp","big","car"
"3943","young","F","high","emp","big","car"
"3944","young","F","high","emp","big","other"
"3945","adult","M","high","emp","big","car"
"3946","young","F","high","emp","big","car"
"3947","adult","M","high","emp","small","other"
"3948","old","M","high","emp","big","car"
"3949","young","M","high","emp","big","car"
"3950","adult","M","uni","emp","big","car"
"3951","adult","M","uni","emp","small","train"
"3952","adult","F","uni","emp","big","car"
"3953","adult","M","uni","emp","big","car"
"3954","adult","M","uni","emp","big","car"
"3955","young","M","uni","self","big","car"
"3956","adult","F","uni","emp","small","car"
"3957","young","M","high","emp","big","car"
"3958","young","M","high","emp","small","car"
"3959","adult","M","high","emp","big","car"
"3960","young","M","high","emp","big","train"
"3961","old","M","high","emp","big","other"
"3962","old","M","high","emp","big","other"
"3963","adult","M","high","self","big","train"
"3964","adult","M","uni","emp","big","car"
"3965","old","F","high","emp","small","train"
"3966","young","F","high","emp","big","other"
"3967","young","M","high","emp","big","train"
"3968","old","M","uni","emp","big","car"
"3969","adult","M","high","emp","big","car"
"3970","young","F","high","emp","big","train"
"3971","young","M","high","emp","small","train"
"3972","adult","M","uni","emp","big","train"
"3973","adult","F","uni","self","small","car"
"3974","adult","M","high","emp","big","other"
"3975","old","M","high","emp","big","car"
"3976","adult","F","high","emp","big","train"
"3977","young","M","high","emp","small","other"
"3978","adult","M","high","emp","big","car"
"3979","young","F","high","emp","big","train"
"3980","adult","F","uni","self","small","car"
"3981","adult","M","uni","emp","big","train"
"3982","adult","M","high","emp","big","other"
"3983","adult","F","uni","emp","big","other"
"3984","young","M","high","emp","big","car"
"3985","old","M","high","emp","small","train"
"3986","adult","F","high","emp","big","car"
"3987","adult","F","high","emp","big","car"
"3988","adult","M","high","emp","big","car"
"3989","adult","F","high","emp","big","car"
"3990","young","M","high","emp","big","other"
"3991","adult","M","high","emp","big","car"
"3992","young","M","high","emp","big","car"
"3993","young","F","uni","self","small","train"
"3994","young","M","high","emp","big","car"
"3995","young","M","high","emp","big","other"
"3996","adult","M","high","emp","big","train"
"3997","adult","F","high","emp","small","train"
"3998","adult","M","high","emp","big","train"
"3999","old","M","high","emp","small","car"
"4000","old","M","high","self","big","car"
"4001","adult","M","high","emp","small","train"
"4002","adult","M","high","emp","big","car"
"4003","adult","F","high","emp","big","other"
"4004","young","F","high","emp","big","other"
"4005","adult","M","high","emp","big","car"
"4006","old","M","high","emp","big","car"
"4007","young","M","uni","emp","big","car"
"4008","young","F","high","emp","big","other"
"4009","adult","M","uni","emp","big","other"
"4010","old","M","high","emp","big","car"
"4011","adult","M","high","emp","big","train"
"4012","adult","F","high","emp","big","car"
"4013","adult","F","high","emp","small","car"
"4014","adult","F","high","emp","big","car"
"4015","old","M","high","emp","small","car"
"4016","old","F","high","emp","big","train"
"4017","young","M","uni","emp","big","car"
"4018","young","F","uni","emp","big","car"
"4019","old","M","high","emp","small","car"
"4020","adult","M","high","emp","big","train"
"4021","old","M","high","emp","big","train"
"4022","adult","M","uni","emp","big","other"
"4023","adult","M","uni","emp","big","car"
"4024","young","M","high","emp","big","car"
"4025","young","F","uni","emp","big","train"
"4026","adult","F","uni","emp","big","train"
"4027","young","M","high","emp","big","train"
"4028","adult","F","high","emp","big","car"
"4029","adult","F","high","emp","big","car"
"4030","adult","F","high","emp","big","car"
"4031","adult","M","uni","emp","big","car"
"4032","old","M","high","emp","big","train"
"4033","adult","M","high","emp","big","train"
"4034","old","M","high","self","big","car"
"4035","adult","M","uni","emp","big","other"
"4036","adult","M","uni","emp","small","other"
"4037","adult","M","high","emp","big","car"
"4038","old","F","high","emp","big","car"
"4039","young","F","uni","emp","big","car"
"4040","adult","M","high","emp","big","train"
"4041","old","M","high","emp","small","car"
"4042","old","F","high","emp","big","car"
"4043","old","F","high","self","small","car"
"4044","adult","M","high","emp","big","train"
"4045","adult","F","high","emp","small","car"
"4046","young","M","uni","emp","big","train"
"4047","old","M","high","emp","big","train"
"4048","young","M","high","emp","big","car"
"4049","adult","M","high","emp","small","train"
"4050","old","M","uni","self","big","other"
"4051","adult","F","high","emp","big","car"
"4052","adult","M","uni","emp","big","car"
"4053","old","F","high","emp","small","car"
"4054","adult","M","high","emp","big","car"
"4055","adult","M","high","emp","big","other"
"4056","adult","F","high","emp","big","train"
"4057","adult","F","high","emp","big","car"
"4058","old","M","high","emp","big","car"
"4059","old","F","high","emp","big","car"
"4060","old","M","high","emp","big","car"
"4061","young","F","uni","emp","small","car"
"4062","young","M","high","emp","big","car"
"4063","adult","F","uni","emp","small","car"
"4064","adult","F","high","emp","small","car"
"4065","young","F","high","emp","big","train"
"4066","old","M","high","emp","small","train"
"4067","young","F","uni","emp","small","train"
"4068","adult","M","high","emp","small","train"
"4069","adult","M","high","emp","small","train"
"4070","young","M","high","emp","big","train"
"4071","adult","M","high","emp","big","other"
"4072","adult","F","uni","emp","big","train"
"4073","adult","F","high","emp","big","other"
"4074","young","M","high","emp","big","other"
"4075","adult","M","high","emp","big","car"
"4076","adult","F","uni","emp","big","train"
"4077","adult","M","high","self","big","car"
"4078","young","F","high","emp","big","car"
"4079","adult","M","uni","emp","big","car"
"4080","adult","F","high","emp","big","other"
"4081","young","M","high","emp","big","train"
"4082","young","M","uni","emp","big","car"
"4083","young","M","high","emp","big","car"
"4084","adult","M","high","emp","big","car"
"4085","young","F","high","emp","big","other"
"4086","old","M","high","emp","big","train"
"4087","young","F","high","emp","small","train"
"4088","young","M","high","emp","small","car"
"4089","young","M","high","emp","big","car"
"4090","adult","M","high","emp","big","car"
"4091","old","M","high","emp","big","car"
"4092","young","F","uni","emp","big","car"
"4093","old","M","high","emp","small","train"
"4094","adult","M","uni","emp","big","train"
"4095","young","F","high","emp","big","train"
"4096","young","M","high","emp","big","car"
"4097","adult","M","high","emp","small","car"
"4098","adult","M","uni","emp","small","car"
"4099","adult","F","high","emp","small","other"
"4100","adult","F","high","emp","small","train"
"4101","adult","M","high","emp","small","car"
"4102","adult","M","high","self","big","car"
"4103","adult","F","uni","emp","big","car"
"4104","old","F","uni","emp","big","car"
"4105","old","M","high","emp","big","train"
"4106","old","M","high","emp","small","train"
"4107","adult","M","high","emp","small","train"
"4108","old","M","high","emp","big","car"
"4109","young","F","high","emp","small","other"
"4110","young","M","high","emp","small","car"
"4111","young","M","uni","emp","big","other"
"4112","adult","M","uni","emp","small","car"
"4113","old","M","high","emp","big","car"
"4114","adult","M","high","emp","big","car"
"4115","adult","F","high","self","small","car"
"4116","adult","F","uni","emp","big","car"
"4117","adult","F","high","emp","big","car"
"4118","adult","M","uni","emp","small","car"
"4119","adult","M","high","emp","big","train"
"4120","adult","F","high","emp","big","train"
"4121","adult","F","high","emp","big","car"
"4122","adult","F","uni","self","big","car"
"4123","adult","F","high","emp","small","car"
"4124","adult","M","high","emp","big","train"
"4125","adult","M","high","emp","big","car"
"4126","old","M","high","emp","big","car"
"4127","young","F","high","emp","big","car"
"4128","adult","M","high","emp","big","train"
"4129","adult","M","uni","emp","big","car"
"4130","adult","M","high","emp","big","car"
"4131","old","F","high","emp","small","train"
"4132","young","M","high","emp","big","car"
"4133","adult","M","uni","emp","big","other"
"4134","adult","M","high","emp","big","car"
"4135","adult","F","high","emp","big","other"
"4136","adult","M","uni","emp","big","car"
"4137","adult","M","uni","emp","small","car"
"4138","adult","M","high","emp","big","car"
"4139","adult","M","high","self","big","car"
"4140","young","M","high","emp","big","car"
"4141","young","M","high","emp","big","car"
"4142","young","M","uni","emp","big","other"
"4143","adult","M","uni","emp","big","car"
"4144","old","M","high","emp","big","car"
"4145","young","M","uni","emp","big","car"
"4146","adult","F","high","emp","big","car"
"4147","old","M","high","emp","big","train"
"4148","young","M","high","emp","big","car"
"4149","young","F","high","emp","big","car"
"4150","old","F","high","emp","big","car"
"4151","adult","M","high","emp","small","train"
"4152","young","M","uni","emp","small","other"
"4153","young","M","high","emp","big","car"
"4154","adult","F","high","emp","big","car"
"4155","adult","M","uni","emp","small","train"
"4156","young","M","high","emp","big","other"
"4157","adult","F","high","emp","big","other"
"4158","adult","M","high","emp","big","car"
"4159","adult","M","high","emp","big","car"
"4160","adult","F","high","emp","big","car"
"4161","young","M","high","emp","big","train"
"4162","old","M","high","emp","big","car"
"4163","old","M","high","emp","small","car"
"4164","young","M","uni","emp","big","car"
"4165","adult","F","high","emp","small","car"
"4166","adult","F","uni","emp","small","car"
"4167","young","M","high","emp","big","car"
"4168","young","M","high","emp","big","other"
"4169","adult","M","high","emp","big","car"
"4170","adult","F","uni","emp","big","train"
"4171","adult","F","high","emp","big","car"
"4172","adult","F","high","emp","big","car"
"4173","old","F","high","emp","big","car"
"4174","adult","F","uni","emp","big","car"
"4175","adult","M","high","emp","big","car"
"4176","old","M","high","emp","big","car"
"4177","adult","F","uni","emp","small","train"
"4178","adult","F","uni","emp","big","car"
"4179","adult","M","high","self","big","car"
"4180","adult","F","high","emp","big","train"
"4181","adult","M","high","emp","small","car"
"4182","adult","F","high","emp","big","car"
"4183","adult","F","high","emp","big","train"
"4184","adult","M","high","emp","small","car"
"4185","old","F","high","emp","big","car"
"4186","young","M","high","emp","big","car"
"4187","young","M","uni","emp","big","car"
"4188","young","F","high","emp","big","train"
"4189","adult","M","high","emp","big","car"
"4190","old","F","high","emp","big","other"
"4191","young","M","high","emp","small","car"
"4192","young","M","high","emp","big","car"
"4193","adult","M","high","emp","big","car"
"4194","adult","F","high","emp","big","car"
"4195","young","F","uni","emp","big","train"
"4196","young","F","high","emp","big","car"
"4197","adult","M","high","emp","big","car"
"4198","adult","M","high","emp","big","car"
"4199","old","M","high","emp","big","other"
"4200","young","M","high","emp","small","train"
"4201","adult","M","high","emp","big","car"
"4202","young","M","high","emp","small","train"
"4203","young","M","high","emp","big","car"
"4204","adult","F","high","emp","small","car"
"4205","old","M","high","emp","big","other"
"4206","adult","M","high","emp","small","train"
"4207","adult","M","uni","emp","big","train"
"4208","adult","M","high","emp","big","car"
"4209","adult","M","high","emp","big","car"
"4210","old","F","high","emp","big","train"
"4211","young","M","high","emp","big","car"
"4212","old","M","high","emp","big","train"
"4213","young","F","high","emp","big","car"
"4214","adult","F","high","emp","small","car"
"4215","young","M","high","emp","small","car"
"4216","old","F","high","emp","small","other"
"4217","adult","F","high","emp","small","car"
"4218","adult","F","uni","emp","small","car"
"4219","young","M","uni","emp","big","train"
"4220","young","M","high","emp","big","train"
"4221","old","F","high","emp","small","train"
"4222","adult","M","uni","emp","small","car"
"4223","adult","M","high","emp","big","car"
"4224","adult","F","high","self","big","train"
"4225","adult","M","high","emp","big","car"
"4226","adult","F","high","emp","big","car"
"4227","adult","M","high","emp","big","car"
"4228","old","M","high","emp","big","car"
"4229","adult","F","high","emp","big","car"
"4230","young","M","high","emp","big","train"
"4231","young","M","high","self","big","train"
"4232","young","M","uni","emp","big","train"
"4233","adult","M","uni","emp","big","car"
"4234","adult","M","high","emp","big","car"
"4235","old","M","high","emp","big","train"
"4236","old","F","high","emp","big","car"
"4237","young","M","high","emp","big","other"
"4238","young","F","high","self","small","other"
"4239","adult","M","uni","emp","small","train"
"4240","young","M","high","emp","small","train"
"4241","old","M","high","emp","big","train"
"4242","old","F","high","emp","big","car"
"4243","old","M","high","emp","big","car"
"4244","old","M","uni","emp","big","car"
"4245","young","F","high","emp","big","train"
"4246","young","F","uni","emp","small","car"
"4247","adult","F","high","emp","big","other"
"4248","young","F","uni","emp","big","train"
"4249","young","F","high","emp","big","car"
"4250","young","F","high","emp","big","car"
"4251","young","M","high","emp","big","other"
"4252","adult","M","high","emp","big","other"
"4253","young","M","high","emp","big","other"
"4254","adult","M","high","emp","big","train"
"4255","young","F","high","emp","big","car"
"4256","adult","M","high","emp","small","train"
"4257","young","M","high","emp","big","train"
"4258","adult","F","uni","emp","small","train"
"4259","young","M","uni","emp","big","other"
"4260","adult","F","high","emp","big","train"
"4261","young","F","high","emp","big","car"
"4262","young","M","high","self","small","train"
"4263","young","M","high","emp","big","car"
"4264","adult","M","high","emp","small","car"
"4265","adult","F","high","emp","big","car"
"4266","adult","M","high","emp","small","train"
"4267","adult","F","high","emp","big","car"
"4268","young","M","uni","emp","big","car"
"4269","young","M","high","emp","small","train"
"4270","adult","M","high","emp","big","other"
"4271","adult","M","high","emp","big","train"
"4272","young","M","high","emp","big","car"
"4273","young","F","high","emp","small","car"
"4274","adult","F","high","emp","big","car"
"4275","young","M","high","emp","big","car"
"4276","adult","M","high","emp","big","other"
"4277","adult","M","high","emp","big","car"
"4278","adult","F","uni","emp","small","car"
"4279","young","F","high","emp","big","train"
"4280","old","F","high","emp","big","car"
"4281","young","M","high","emp","big","car"
"4282","young","F","uni","emp","big","train"
"4283","young","F","high","emp","big","train"
"4284","old","F","high","emp","small","train"
"4285","adult","M","uni","emp","big","train"
"4286","adult","M","high","emp","big","car"
"4287","adult","F","uni","emp","big","car"
"4288","young","F","uni","emp","big","car"
"4289","adult","M","uni","emp","big","other"
"4290","adult","F","high","emp","big","train"
"4291","adult","M","high","emp","big","other"
"4292","adult","M","high","emp","small","car"
"4293","adult","F","high","emp","small","train"
"4294","adult","M","high","emp","big","car"
"4295","young","M","high","emp","big","other"
"4296","adult","M","high","emp","small","train"
"4297","young","M","uni","emp","big","car"
"4298","adult","F","high","emp","small","other"
"4299","young","M","high","self","big","car"
"4300","adult","M","high","emp","big","car"
"4301","adult","F","high","emp","small","other"
"4302","adult","F","high","emp","big","car"
"4303","young","F","uni","self","small","car"
"4304","old","F","uni","emp","small","car"
"4305","old","M","high","emp","big","car"
"4306","adult","M","high","emp","small","other"
"4307","adult","M","high","emp","big","train"
"4308","young","M","high","emp","big","train"
"4309","young","M","uni","emp","big","car"
"4310","adult","F","high","emp","big","car"
"4311","adult","M","high","emp","small","car"
"4312","adult","F","high","emp","small","train"
"4313","young","F","uni","emp","big","other"
"4314","young","M","high","emp","big","train"
"4315","adult","F","high","emp","small","car"
"4316","old","F","high","emp","big","car"
"4317","young","F","high","emp","small","train"
"4318","old","M","high","emp","big","train"
"4319","adult","M","uni","emp","small","train"
"4320","old","M","high","emp","small","other"
"4321","adult","M","uni","emp","big","car"
"4322","young","F","uni","emp","big","train"
"4323","adult","F","high","emp","big","train"
"4324","adult","M","uni","emp","big","car"
"4325","adult","F","high","emp","big","train"
"4326","young","M","high","emp","big","car"
"4327","old","M","high","emp","big","car"
"4328","young","F","uni","emp","big","car"
"4329","adult","F","high","emp","big","car"
"4330","young","F","uni","emp","big","car"
"4331","adult","M","high","self","small","car"
"4332","old","F","high","emp","big","other"
"4333","adult","F","high","emp","big","train"
"4334","adult","M","high","emp","small","car"
"4335","old","M","high","emp","big","car"
"4336","old","F","high","emp","small","train"
"4337","adult","M","uni","emp","big","other"
"4338","adult","M","uni","emp","big","car"
"4339","old","F","high","emp","big","car"
"4340","adult","M","high","emp","big","other"
"4341","adult","M","high","emp","big","other"
"4342","adult","M","high","emp","big","train"
"4343","adult","M","high","emp","big","car"
"4344","old","F","high","emp","small","train"
"4345","old","F","high","emp","small","train"
"4346","old","F","high","emp","big","other"
"4347","young","F","high","emp","big","car"
"4348","adult","M","high","emp","big","train"
"4349","old","F","high","emp","small","train"
"4350","young","F","high","emp","big","train"
"4351","adult","F","high","emp","small","train"
"4352","young","F","uni","emp","big","train"
"4353","adult","F","uni","emp","small","car"
"4354","adult","F","high","emp","small","car"
"4355","adult","F","uni","emp","big","train"
"4356","adult","M","uni","emp","big","car"
"4357","young","M","uni","emp","small","car"
"4358","old","F","high","emp","big","other"
"4359","adult","M","uni","emp","big","car"
"4360","adult","F","high","self","big","car"
"4361","old","F","uni","emp","big","other"
"4362","adult","M","high","emp","big","car"
"4363","old","F","high","emp","small","car"
"4364","adult","M","high","emp","big","car"
"4365","young","F","high","emp","small","other"
"4366","adult","M","high","emp","big","train"
"4367","adult","F","high","self","big","car"
"4368","old","F","uni","emp","big","train"
"4369","adult","M","high","emp","big","car"
"4370","young","F","high","emp","big","car"
"4371","adult","M","high","emp","big","car"
"4372","adult","M","high","emp","small","train"
"4373","adult","F","high","emp","big","other"
"4374","adult","F","high","emp","big","car"
"4375","young","M","uni","emp","big","train"
"4376","adult","M","uni","emp","big","car"
"4377","adult","M","high","emp","big","car"
"4378","young","F","high","emp","big","car"
"4379","adult","F","high","emp","big","car"
"4380","adult","F","high","emp","big","other"
"4381","young","M","uni","emp","big","other"
"4382","adult","F","high","emp","big","train"
"4383","adult","F","uni","emp","big","train"
"4384","old","M","high","emp","small","train"
"4385","young","M","high","emp","big","car"
"4386","adult","M","uni","emp","big","car"
"4387","old","M","high","emp","big","car"
"4388","old","M","high","emp","big","other"
"4389","adult","F","high","emp","big","car"
"4390","young","M","high","emp","big","train"
"4391","adult","M","high","emp","big","car"
"4392","young","F","high","emp","big","car"
"4393","adult","F","high","emp","big","train"
"4394","young","M","uni","emp","small","car"
"4395","young","F","uni","emp","big","car"
"4396","old","M","high","emp","big","car"
"4397","young","M","high","emp","small","car"
"4398","old","M","high","emp","big","car"
"4399","adult","M","high","emp","big","car"
"4400","adult","M","high","emp","small","train"
"4401","young","M","high","emp","big","car"
"4402","adult","M","high","emp","big","car"
"4403","young","F","high","emp","big","train"
"4404","old","M","high","emp","big","car"
"4405","young","F","high","emp","big","car"
"4406","adult","F","high","emp","small","train"
"4407","adult","M","uni","emp","big","train"
"4408","adult","F","uni","emp","big","train"
"4409","young","M","high","emp","big","car"
"4410","adult","M","high","emp","small","train"
"4411","young","F","high","emp","big","train"
"4412","adult","F","uni","emp","small","other"
"4413","adult","M","high","emp","big","car"
"4414","adult","M","high","emp","big","train"
"4415","young","M","uni","emp","big","other"
"4416","young","M","uni","emp","big","train"
"4417","adult","F","high","emp","big","car"
"4418","adult","F","uni","emp","big","train"
"4419","adult","F","high","emp","big","car"
"4420","adult","M","high","emp","big","train"
"4421","young","F","high","emp","big","car"
"4422","adult","F","uni","self","big","car"
"4423","young","F","high","emp","big","train"
"4424","adult","M","high","emp","big","train"
"4425","adult","M","high","emp","big","car"
"4426","young","F","high","self","big","car"
"4427","adult","M","uni","emp","small","car"
"4428","young","M","high","emp","big","other"
"4429","adult","F","uni","emp","big","car"
"4430","young","M","high","emp","big","car"
"4431","adult","F","high","emp","big","car"
"4432","adult","M","high","emp","big","other"
"4433","young","F","uni","emp","big","car"
"4434","old","M","high","emp","small","car"
"4435","adult","M","high","emp","big","car"
"4436","adult","M","uni","emp","small","car"
"4437","young","M","high","emp","big","train"
"4438","adult","F","high","emp","small","train"
"4439","adult","M","high","emp","big","car"
"4440","young","M","uni","emp","big","train"
"4441","young","M","high","emp","big","other"
"4442","old","M","high","self","big","car"
"4443","adult","F","uni","emp","big","train"
"4444","adult","M","high","emp","small","car"
"4445","adult","M","high","emp","big","other"
"4446","adult","M","uni","emp","small","car"
"4447","old","F","high","emp","small","car"
"4448","adult","M","high","emp","big","car"
"4449","adult","M","high","emp","big","car"
"4450","young","M","high","emp","big","other"
"4451","old","F","uni","emp","small","car"
"4452","adult","M","high","emp","big","car"
"4453","old","M","high","emp","big","train"
"4454","adult","M","uni","emp","big","car"
"4455","adult","M","high","emp","big","car"
"4456","old","M","high","emp","big","train"
"4457","adult","M","high","emp","small","train"
"4458","young","M","high","emp","big","train"
"4459","young","F","high","emp","big","car"
"4460","adult","F","high","emp","big","train"
"4461","young","M","high","emp","big","train"
"4462","adult","F","uni","emp","big","train"
"4463","young","M","uni","emp","big","other"
"4464","young","M","uni","emp","big","car"
"4465","old","F","high","emp","big","train"
"4466","young","M","uni","emp","small","car"
"4467","adult","M","uni","emp","big","car"
"4468","young","M","uni","emp","big","car"
"4469","adult","F","high","emp","small","car"
"4470","old","M","high","emp","big","car"
"4471","young","F","high","emp","big","other"
"4472","old","M","high","emp","small","car"
"4473","adult","F","uni","emp","small","car"
"4474","young","F","uni","emp","big","other"
"4475","young","M","high","emp","big","other"
"4476","young","M","uni","emp","small","car"
"4477","adult","M","high","emp","big","train"
"4478","young","M","high","emp","big","car"
"4479","young","M","uni","emp","big","car"
"4480","young","M","uni","emp","big","other"
"4481","young","F","uni","emp","small","train"
"4482","adult","M","high","emp","big","other"
"4483","adult","M","high","emp","big","car"
"4484","adult","F","uni","self","big","car"
"4485","old","M","uni","emp","big","car"
"4486","young","F","high","emp","big","other"
"4487","young","M","high","emp","big","other"
"4488","young","M","high","emp","big","car"
"4489","adult","F","uni","emp","big","car"
"4490","young","F","uni","emp","big","train"
"4491","old","M","high","emp","big","car"
"4492","young","F","uni","emp","big","car"
"4493","adult","M","high","emp","small","car"
"4494","young","M","high","emp","big","other"
"4495","old","M","high","emp","small","train"
"4496","adult","M","high","emp","big","car"
"4497","young","M","high","emp","small","train"
"4498","old","M","high","emp","small","car"
"4499","adult","F","uni","emp","big","car"
"4500","adult","M","high","emp","big","car"
"4501","adult","F","high","self","big","car"
"4502","young","M","high","emp","big","car"
"4503","young","F","uni","emp","big","car"
"4504","young","M","high","emp","big","car"
"4505","adult","M","uni","emp","big","car"
"4506","adult","F","high","emp","big","car"
"4507","young","M","uni","emp","big","car"
"4508","young","F","uni","emp","small","car"
"4509","young","M","high","emp","big","car"
"4510","adult","M","uni","emp","big","train"
"4511","adult","M","high","emp","big","car"
"4512","adult","F","high","emp","big","train"
"4513","adult","F","high","emp","big","car"
"4514","old","F","high","emp","small","train"
"4515","old","F","high","emp","big","train"
"4516","adult","M","high","emp","big","car"
"4517","young","M","high","emp","small","car"
"4518","adult","M","high","emp","big","car"
"4519","adult","F","high","emp","big","car"
"4520","old","M","high","emp","big","car"
"4521","adult","M","uni","emp","big","other"
"4522","adult","M","high","emp","big","car"
"4523","young","M","uni","emp","big","car"
"4524","old","F","high","emp","big","car"
"4525","young","M","high","emp","big","car"
"4526","adult","M","uni","emp","small","train"
"4527","adult","M","high","emp","big","car"
"4528","old","M","high","emp","big","train"
"4529","adult","F","high","emp","big","car"
"4530","adult","M","uni","emp","big","car"
"4531","adult","M","high","emp","big","other"
"4532","adult","M","uni","emp","big","train"
"4533","adult","M","uni","emp","big","train"
"4534","old","F","high","emp","small","train"
"4535","young","M","high","emp","big","train"
"4536","adult","M","high","emp","big","car"
"4537","young","M","high","emp","big","train"
"4538","adult","F","high","emp","big","train"
"4539","young","M","high","emp","small","car"
"4540","young","M","high","emp","small","train"
"4541","young","M","high","emp","big","other"
"4542","adult","F","high","emp","big","car"
"4543","adult","F","high","emp","small","train"
"4544","young","M","high","emp","big","car"
"4545","old","F","high","emp","big","other"
"4546","adult","M","uni","emp","big","other"
"4547","old","M","high","emp","small","train"
"4548","young","F","uni","emp","small","train"
"4549","young","F","high","emp","big","car"
"4550","old","M","uni","emp","small","car"
"4551","young","F","high","emp","small","train"
"4552","adult","M","high","emp","small","train"
"4553","adult","M","high","emp","big","car"
"4554","adult","M","high","emp","big","train"
"4555","adult","F","high","emp","small","car"
"4556","adult","M","high","emp","small","train"
"4557","adult","F","high","emp","big","car"
"4558","adult","F","high","emp","big","car"
"4559","young","M","high","emp","big","car"
"4560","adult","M","high","emp","small","car"
"4561","adult","M","high","emp","big","car"
"4562","old","M","high","emp","big","car"
"4563","young","M","high","emp","small","car"
"4564","young","M","high","emp","small","train"
"4565","old","M","high","emp","small","car"
"4566","adult","F","high","self","big","car"
"4567","adult","M","high","emp","small","car"
"4568","old","M","high","emp","big","train"
"4569","young","F","high","emp","big","car"
"4570","adult","F","high","emp","big","other"
"4571","adult","M","high","emp","big","other"
"4572","young","F","high","emp","big","car"
"4573","old","M","high","emp","small","train"
"4574","old","F","high","emp","big","car"
"4575","adult","M","high","emp","small","car"
"4576","adult","F","high","emp","big","train"
"4577","adult","F","uni","emp","big","car"
"4578","young","M","high","emp","big","other"
"4579","adult","M","uni","emp","big","other"
"4580","adult","M","high","emp","big","car"
"4581","adult","F","high","emp","big","car"
"4582","adult","M","uni","emp","small","train"
"4583","young","F","uni","emp","big","train"
"4584","young","M","high","emp","big","train"
"4585","young","F","uni","emp","big","train"
"4586","adult","M","high","emp","big","other"
"4587","young","M","high","emp","small","train"
"4588","young","M","uni","emp","big","car"
"4589","adult","F","high","emp","small","car"
"4590","adult","M","high","emp","big","car"
"4591","adult","M","uni","emp","big","car"
"4592","old","F","high","emp","big","train"
"4593","young","M","uni","emp","big","car"
"4594","young","M","uni","emp","small","car"
"4595","adult","M","high","emp","big","train"
"4596","adult","F","high","emp","small","other"
"4597","adult","M","high","emp","big","car"
"4598","adult","F","high","emp","small","other"
"4599","old","F","high","emp","small","car"
"4600","adult","F","uni","emp","big","car"
"4601","adult","F","high","emp","big","car"
"4602","adult","M","uni","self","big","car"
"4603","young","F","uni","emp","big","car"
"4604","young","M","high","emp","big","car"
"4605","adult","M","high","emp","big","train"
"4606","young","F","high","emp","big","other"
"4607","adult","M","high","emp","small","train"
"4608","old","M","uni","emp","big","train"
"4609","adult","F","high","self","small","car"
"4610","adult","F","high","emp","big","car"
"4611","adult","M","uni","emp","big","train"
"4612","adult","M","high","emp","big","car"
"4613","young","F","uni","self","small","train"
"4614","old","M","high","self","big","train"
"4615","adult","M","high","emp","small","car"
"4616","adult","M","uni","emp","big","train"
"4617","adult","F","high","emp","big","car"
"4618","young","F","high","emp","big","car"
"4619","adult","M","high","emp","big","other"
"4620","young","M","high","emp","big","car"
"4621","adult","M","high","emp","small","train"
"4622","old","F","high","emp","small","train"
"4623","old","M","high","emp","big","train"
"4624","young","M","high","emp","big","car"
"4625","adult","F","high","emp","big","other"
"4626","young","M","high","emp","big","other"
"4627","old","F","uni","emp","big","car"
"4628","old","F","high","emp","big","car"
"4629","adult","M","uni","emp","big","other"
"4630","young","F","high","emp","small","train"
"4631","adult","F","uni","emp","big","car"
"4632","adult","F","high","emp","big","car"
"4633","adult","M","high","emp","big","other"
"4634","adult","F","high","emp","big","train"
"4635","adult","M","high","emp","big","car"
"4636","old","M","high","emp","big","car"
"4637","adult","M","high","emp","big","car"
"4638","young","M","high","emp","big","car"
"4639","old","M","high","emp","small","train"
"4640","old","M","high","emp","big","car"
"4641","adult","M","uni","emp","big","train"
"4642","young","F","uni","emp","big","car"
"4643","young","M","high","emp","big","train"
"4644","young","F","high","emp","big","other"
"4645","old","F","high","emp","big","other"
"4646","adult","M","high","emp","big","train"
"4647","young","M","high","emp","big","train"
"4648","old","F","uni","emp","big","car"
"4649","adult","M","high","emp","big","car"
"4650","young","F","high","emp","big","car"
"4651","young","F","high","emp","big","car"
"4652","young","M","high","self","big","car"
"4653","old","F","high","emp","big","train"
"4654","old","M","high","emp","big","car"
"4655","old","M","uni","self","big","car"
"4656","adult","F","high","emp","big","train"
"4657","young","M","high","emp","big","train"
"4658","old","M","uni","emp","big","other"
"4659","adult","F","uni","self","big","car"
"4660","adult","M","uni","emp","big","car"
"4661","adult","M","uni","emp","small","car"
"4662","adult","M","uni","emp","big","car"
"4663","old","F","high","emp","big","car"
"4664","adult","F","uni","emp","small","train"
"4665","old","M","high","self","big","car"
"4666","adult","M","high","emp","small","car"
"4667","adult","F","high","emp","big","other"
"4668","adult","M","high","emp","big","train"
"4669","adult","M","uni","emp","small","car"
"4670","young","M","high","emp","small","car"
